index,GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
61,1272,s,-34.37142485357407,-62.11314742271537,19/20,5,4
62,1276,s,-34.3542759926429,-62.10334114048123,19/20,5,4
63,1289,s,-34.306413713621964,-62.04108528765585,19/20,5,6
64,1293,s,-34.27715914068176,-62.031054707308854,19/20,5,4
65,1321,s,-34.08969999455905,-61.989205001409644,19/20,5,4
66,1324,s,-34.084071426555056,-61.98354043354414,19/20,5,4
67,1326,s,-34.0765498539925,-61.97430642949809,19/20,5,4
68,1331,s,-34.04529670867612,-61.94447471573551,19/20,5,4
69,1340,s,-34.00403562164655,-61.92167773823701,19/20,5,4
70,1341,s,-33.99922200669022,-61.912590118639,19/20,6,7
71,1343,s,-33.993247237469966,-61.89198449758646,19/20,5,4
72,1349,s,-33.969925823917606,-61.878178717074086,19/20,6,5
73,1350,s,-33.95523631920071,-61.877028910455806,19/20,5,4
74,1361,s,-33.89435496411028,-61.82974677329491,19/20,5,4
75,1367,s,-33.87239613677224,-61.80338143070843,19/20,5,4
78,1382,s,-33.78954061190967,-61.722005914741146,19/20,5,4
79,1391,s,-33.769624227675926,-61.699323454213975,19/20,5,4
80,1401,s,-33.75184447254435,-61.667728422628564,19/20,5,4
81,1403,s,-33.75032263168407,-61.662287054803706,19/20,5,4
82,1412,s,-33.72506596702073,-61.62830826491444,19/20,5,4
83,1414,s,-33.71783182587802,-61.6240217749849,19/20,5,4
84,1417,s,-33.711107601234744,-61.61797338006739,19/20,5,4
85,1421,s,-33.70386034797661,-61.5974784493709,19/20,5,4
86,1424,s,-33.694796294213575,-61.58946935432722,19/20,5,4
87,1433,s,-33.68681299172613,-61.556030175652026,19/20,5,4
