GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
938,M,-33.80934952342761,-61.38167448836249,19/20,1,2
963,M,-33.607135995523876,-61.315583583081896,19/20,1,2
966,M,-33.63097094003581,-61.368289574819315,19/20,1,2
967,M,-33.625340625584165,-61.36639067705022,19/20,1,2
969,M,-33.62163830048695,-61.35717407568313,19/20,1,2
976,M,-33.84395752121233,-61.720882470335255,19/20,3,4
977,M,-33.841841814505315,-61.71194375644657,19/20,1,2
980,M,-33.847515637080896,-61.697586236729,19/20,1,2
985,M,-33.491026600097484,-61.38332991964006,19/20,1,2
993,M,-33.502758587139056,-61.40342960639117,19/20,1,2
995,M,-33.5067148226309,-61.40982920725207,19/20,1,2
996,M,-33.504829810347424,-61.41916142446014,19/20,1,2
1033,M,-33.52405797849286,-61.61629437908226,19/20,1,2
1034,M,-33.51970771044245,-61.61993738700079,19/20,1,2
1036,M,-33.523521085929296,-61.6251751195361,19/20,1,2
1044,M,-33.552095107702996,-61.67009887905999,19/20,1,2
1047,M,-33.55752882319661,-61.68157705044047,19/20,1,2
1063,M,-33.58835513228348,-61.74949707003372,19/20,1,2
1064,M,-33.59848652573254,-61.75269610154379,19/20,1,2
1065,M,-33.59432907862401,-61.75865328811869,19/20,3,2
1070,M,-33.59992668836594,-61.77153822221111,19/20,1,2
1071,M,-33.6078113361242,-61.76980584196599,19/20,1,2
1072,M,-33.61199789878395,-61.77522689770314,19/20,1,2
1074,M,-33.6148198562513,-61.78056667361306,19/20,1,2
1086,M,-33.63273187467621,-61.81847838317083,19/20,1,2
1091,M,-33.647732838000024,-61.84409590620107,19/20,1,2
1100,M,-33.661818889530075,-61.891263759315,19/20,1,2
1104,M,-33.67151332398066,-61.908568912525254,19/20,1,2
1109,M,-33.689207235225695,-61.94022528686747,19/20,1,2
1111,M,-33.702493534049324,-61.96409595056764,19/20,1,2
1115,M,-33.73800989663937,-62.01782717018773,19/20,1,2
1133,M,-33.793927510246355,-62.146739701076285,19/20,1,2
1135,M,-33.80670658604009,-62.1464374713122,19/20,2,3
1148,M,-33.84621780280929,-62.20864695419358,19/20,1,2
1152,M,-33.86367859269285,-62.223962396047675,19/20,1,2
1179,M,-34.009228997819946,-62.266022311280615,19/20,2,1
1188,M,-34.03606407339821,-62.294962416482285,19/20,2,1
1190,M,-34.051558302273804,-62.32144946342196,19/20,2,1
1196,M,-34.08082236665888,-62.34226706547264,19/20,1,2
1203,M,-34.09615350078337,-62.37018360638831,19/20,1,2
1205,M,-34.10217426403102,-62.380133535534185,19/20,3,4
1212,M,-34.11975149903242,-62.40820772670521,19/20,3,2
1216,M,-34.12822776220145,-62.43639619472857,19/20,2,1
1217,M,-34.132548313953464,-62.44070353993635,19/20,2,1
1219,M,-34.14279931004006,-62.437627291965896,19/20,2,1
1225,M,-34.16244277971049,-62.480593061920224,19/20,1,2
1232,M,-34.18737672355689,-62.54333398567485,19/20,1,2
1256,M,-34.31438438872851,-62.76884397367043,19/20,1,2
1274,M,-34.366161427407924,-62.11806414764226,19/20,1,2
1275,M,-34.36296271875443,-62.10445814073057,19/20,1,2
1279,M,-34.342991287018265,-62.064689564072076,19/20,1,2
1280,M,-34.33718342477516,-62.06750214610713,19/20,1,2
1285,M,-34.31821299873087,-62.051101710875216,19/20,1,2
1287,M,-34.30988113790413,-62.04156771008172,19/20,1,2
1292,M,-34.285798854733336,-62.04050271762629,19/20,1,2
1294,M,-34.274776282599305,-62.036809002333534,19/20,1,2
1299,M,-34.237564857132384,-62.030198147126725,19/20,1,2
1301,M,-34.225328713749086,-62.02945057668274,19/20,1,2
1302,M,-34.21800385529366,-62.027716860944345,19/20,1,2
1308,M,-34.17974285534848,-62.015353278231146,19/20,3,4
1312,M,-34.14147556824281,-62.01329428760124,19/20,1,2
1323,M,-34.08737500155502,-61.97740428008342,19/20,1,2
1325,M,-34.08478343151012,-61.974453566678726,19/20,1,2
1334,M,-34.03768600070833,-61.92764642174496,19/20,1,2
1348,M,-33.97418741611631,-61.88829305488054,19/20,1,2
1360,M,-33.8986121685167,-61.83300767276586,19/20,1,2
1365,M,-33.88065619123017,-61.81739809054938,19/20,1,2
1372,M,-33.82941161685261,-61.77715332556551,19/20,1,2
1377,M,-33.807832385256354,-61.75081902577739,19/20,4,5
1386,M,-33.77503530003901,-61.714686120368135,19/20,2,1
1387,M,-33.77426871702761,-61.70566739243617,19/20,1,2
1394,M,-33.76771913892708,-61.682285352886716,19/20,1,2
1395,M,-33.76113190261515,-61.68289863926077,19/20,2,1
1398,M,-33.75379450940903,-61.67279021719474,19/20,2,1
1405,M,-33.74966080350322,-61.64904700631428,19/20,1,2
1408,M,-33.739191969134026,-61.644490970681716,19/20,1,2
1416,M,-33.71563359951097,-61.617362459809605,19/20,3,4
1427,M,-33.69195715609783,-61.58379700282938,19/20,1,2
